accountNumber,accountName,address1,address2,city,countryName,zipCode,state,countryCode,parentAccount
ALLIANCE TIRE_M,ALLIANCE TIRE AMERICAS MASTER,201 EDGEWATER DRIVE,SUITE 285,WAKEFIELD,UNITED STATES,1880,MA,US,
1000485410,ALLIANCE TIRE AMERICAS,201 EDGEWATER DRIVE,SUITE 285,WAKEFIELD,UNITED STATES,1880,MA,US,ALLIANCE TIRE_M
APOLLO_M,APOLLO MASTER,1175 PEACHTREE STREET NE,10TH FL,ATLANTA,UNITED STATES,30361,GA,US,
1000511921,APOLLO EXPORT WAREHOUSE,6950 NW 77TH COURT,SUITE 5&6,MIAMI,UNITED STATES,33166,FL,US,APOLLO_M
1000494374,APOLLO INTERNATIONAL FORWARDERS INC,2455 EAST SUNRISE BLVD,SUITE 801,FORT LAUDERDALE,UNITED STATES,33304,FL,US,APOLLO_M
1000242889,APOLLO METRO SOLUTIONS INC,2675 HORSESHOE DR S,STE 401,NAPLES,UNITED STATES,34104,FL,US,APOLLO_M
1000259220,APOLLO VREDESTEIN TIRES INC,1175 PEACHTREE STREET NE,10TH FL,ATLANTA,UNITED STATES,30361,GA,US,APOLLO_M
AVAYA_M,AVAYA INC MASTER,4655 GREAT AMERICA PKWY,,SANTA CLARA,UNITED STATES,95054,CA,US,
1000362260,AVAYA INC POST PETITION BANKRUPTCY,4655 GREAT AMERICA PKWY,,SANTA CLARA,UNITED STATES,95054,CA,US,AVAYA_M
1000364047,"AVAYA,INC.DEBIT ACCOUNT ONLY ""POST"",""PETITION ACCOUNT"",4655 GREAT AMERICA PKWY,SANTA CLARA,UNITED STATES,95054,CA,US,AVAYA_M
BAKERLY_M,BAKERLY LLC MASTER,4300 BRADEN BLVD E,,EASTON,UNITED STATES,18040,PA,US,
1000588438,BAKERLY LLC,4300 BRADEN BLVD E,,EASTON,UNITED STATES,18040,PA,US,BAKERLY_M
BLUE MOOSE CLOTHING_M,BLUE MOOSE CLOTHING MASTER,MANITOBAH MUKLUKS,100 90 SUTHERLAND AVE,WINNIPEG,CANADA,R2W 3C7,MB,CA,
1000649825,BLUE MOOSE CLOTHING CO LTD,MANITOBAH MUKLUKS,100 90 SUTHERLAND AVE,WINNIPEG,CANADA,R2W 3C7,MB,CA,BLUE MOOSE CLOTHING_M
1000547618,BORR DRILLING MALAYSIA SDN BHD,JLN STESEN SENTRAL 5,KL SENTRAL,K LUMPUR,MALAYSIA,50470,.,MY,BORR DRILLING_M
1000669018,BORR DRILLING MALAYSIA SDN. BHD,SMA GOLDEN EAGLE REALTY,JALAN AMPANG,K LUMPUR,MALAYSIA,50450,.,MY,BORR DRILLING_M
1000646721,BORR DRILLING SERVICES LLC,OFFICE 937 REGUSAI FARDAN TOWERS 9T,"AL FUNDUQ STREET 61, WEST BAY",DOHA,QATAR,31316,.,QA,BORR DRILLING_M
1000544933,BORR GERD INC (MARSHALL ISL) BORR,DRLLG MGM DMCC (RIG: GERD AAA),P.O. BOX 36913,"DUBAI,",UAE,.,.,AE,BORR DRILLING_M
1000544931,BORR GROA INC (MARSHALL ISL),"C/O QUORUM LIMITED, 36913,",BERMUDA,HAMILTON,UAE,.,.,AE,BORR DRILLING_M
1000512723,BORR JACK-UP XXXII INC. C/O BORR,"PO BOX 36913, DUBAI AE - UNITED",ARAB EMIRATES,DUBAI,UAE,.,.,AE,BORR DRILLING_M
1000506041,BORR SEA OPERATIONS INC BANN ON NUT,CONDO BB BLDG FLR SP 998/161 SOI ON,NUT SOI ON NUT 30-32 SUKHUMVIT 77,DUBAI,UAE,10250,.,AE,BORR DRILLING_M
CALIFORNIA INNOVATIONS_M,CALIFORNIA INNOVATIONS MASTER,36 DUFFLAW ROAD,,TORONTO,CANADA,M6A 2W1,ON,CA,
1000633801,CALIFORNIA INNOVATIONS,36 DUFFLAW ROAD,,TORONTO,CANADA,M6A 2W1,ON,CA,CALIFORNIA INNOVATIONS_M
1000332956,CATERPILLAR NEWBERRY LLC,40 MAWSONS WAY,,NEWBERRY,UNITED STATES,29108,SC,US,CAT_M
WALMART_M,CMA-CGM/WALMART MASTER,5701 LAKE WRIGHT DRIVE,,NORFOLK,UNITED STATES,23502,VA,US,
1000505504,CMA-CGM/WALMART,5701 LAKE WRIGHT DRIVE,,NORFOLK,UNITED STATES,23502,VA,US,WALMART_M
CROCS_M,CROCS INC MASTER,13601 VIA VARRA,,BROOMFIELD,UNITED STATES,80020,CO,US,
1000599432,"CROCS, INC",13601 VIA VARRA,,BROOMFIELD,UNITED STATES,80020,CO,US,CROCS_M
DAMCO_M,DAMCO DISTRIBUTION SERVICES MASTER,180 PARK AVENUE,BLDG 105,FLORHAM PARK,UNITED STATES,7932,NJ,US,
1000551722,DAMCO DISTRIBUTION SERVICES INC,180 PARK AVENUE,BLDG 105,FLORHAM PARK,UNITED STATES,7932,NJ,US,DAMCO_M
DANBY PRODUCT_M,DANBY PRODUCTS MASTER,P.O. BOX 669 1800 PRODUCTION DRIVE,,FINDLAY,UNITED STATES,45840,OH,US,
1000444471,DANBY PRODUCTS INC.,P.O. BOX 669 1800 PRODUCTION DRIVE,,FINDLAY,UNITED STATES,45840,OH,US,DANBY PRODUCT_M
1000487215,DELL INC,ONE DELL WAY,,AUSTIN,UNITED STATES,78682,TX,US,DELL_M
1000649816,DELL INC,ONE DELL WAY,,ROUND ROCK,UNITED STATES,78682,TX,US,DELL_M
1000487197,DELL INC,ONE DELL WAY,,ROUND ROCK,UNITED STATES,78682,TX,US,DELL_M
1000258646,"DELL WILL CUSTOMS BROKER (USA),INC.",26480 NORTHLINE COMMERCE DR STE 912,,TAYLOR,UNITED STATES,48180,MI,US,DELL_M
EXPEDITORS _M,EXPEDITORS INTL OF WASHINGTON MASTER,1015 3RD AVE,,SEATTLE,UNITED STATES,98104,WA,US,
1000297948,EXPEDITORS,18255 HUMBLE PARKWAY,,HUMBLE,UNITED STATES,77338,TX,US,EXPEDITORS _M
1000542783,EXPEDITORS INTERNATIONAL OF,345 ROUSER ROAD BUILDING 5,SUITE 500,MOON TOWNSHIP,UNITED STATES,15108,PA,US,EXPEDITORS _M
7525749,EXPEDITORS INTL,506 E DALLAS RD,,DALLAS,UNITED STATES,76051,TX,US,EXPEDITORS _M
1000244178,EXPEDITORS INTL OF WASHINGTON INC,1015 3RD AVE,,SEATTLE,UNITED STATES,98104,WA,US,EXPEDITORS _M
FERGUSON_M,FERGUSON ENTERPRISE MASTER,12500 JEFFERSON AVENUE,,NEWPORT NEWS,UNITED STATES,23602,VA,US,
1000373306,FERGUSON ENTERPRISE LLC,12500 JEFFERSON AVENUE,,NEWPORT NEWS,UNITED STATES,23602,VA,US,FERGUSON_M
FUJITSU_M,FUJITSU_MASTER,2801 TELECOM PKY,RICHARDSON TX 75082,RICHARDSON,UNITED STATES,75082,TX,US,
783183,FUJITSU NETWORK COMMUNICATIONS INC,2801 TELECOM PKY,RICHARDSON TX 75082,RICHARDSON,UNITED STATES,75082,TX,US,FUJITSU_M
HP_M,HP INC_MASTER,1209 ORANGE STREET,,WILMINGTON,UNITED STATES,19801,DE,US,
1000575922,HP INC,1209 ORANGE STREET,,WILMINGTON,UNITED STATES,19801,DE,US,HP_M
INFINERA CORP_M,INFINERA CORPORATION MASTER,140 CASPIAN COURT,,SUNNYVALE,UNITED STATES,94089,CA,US,
1000556338,INFINERA CORPORATION,140 CASPIAN COURT,,SUNNYVALE,UNITED STATES,94089,CA,US,INFINERA CORP_M
INNOVAIRRE GLOBAL_M,INNOVAIRRE GLOBAL MASTER,2 EXECTIVE CAMPUS # 200,,CHERRY HILL,UNITED STATES,8002,NJ,US,
1000479128,INNOVAIRRE GLOBAL,2 EXECTIVE CAMPUS # 200,,CHERRY HILL,UNITED STATES,8002,NJ,US,INNOVAIRRE GLOBAL_M
INTERPARFUMS_M,INTERPARFUMS USA MASTER,551 5TH AVENUE SUITE 155,,NEW YORK,UNITED STATES,10176,NY,US,
1000657116,INTERPARFUMS USA LLC,551 5TH AVENUE SUITE 155,,NEW YORK,UNITED STATES,10176,NY,US,INTERPARFUMS_M
INTIRION CORPORATION_M,INTIRION CORPORATION MASTER,2 ANNETTE RD,SUITE3,FOXBORO,UNITED STATES,2035,MA,US,
1000445608,INTIRION CORPORATION,2 ANNETTE RD,SUITE3,FOXBORO,UNITED STATES,2035,MA,US,INTIRION CORPORATION_M
JABIL_M,JABIL MASTER,6375 SAN IGNACIO AVE,,SAN JOSE,UNITED STATES,95119,CA,US,
1000167768,JABIL CIRCUIT DE CHIHUAHUA S DE RL,"COMPLEJO INDUSTRIAL CHIHUAHUA,","CHIHUAHUA,CHIHUAHUA",CHIHUAHUA,MEXICO,CHH 31136,.,MX,JABIL_M
1000664158,JABIL INC,6375 SAN IGNACIO AVE,,SAN JOSE,UNITED STATES,95119,CA,US,JABIL_M
KLA_M,KLA MASTER,41707 CHRISTY ST,,FREMONT,UNITED STATES,94538,CA,US,
1000513485,KLA,41707 CHRISTY ST,,FREMONT,UNITED STATES,94538,CA,US,KLA_M
LL FLOORING_M,LL FLOORING SERVICES MASTER,4901 BAKERS MILL LN,,RICHMOND,UNITED STATES,23230,VA,US,
1000514504,"LL FLOORING SERVICES, LLC",4901 BAKERS MILL LN,,RICHMOND,UNITED STATES,23230,VA,US,LL FLOORING_M
1000461659,LOCKHEED MARTIN SPACE,1111 LOCKHEED MARTIN WAY,,SUNNYVALE,UNITED STATES,94089,CA,US,LOCKHEED_M
MICROSOFT_M,MICROSOFT IRELAND OPERATIONS MASTER,ONE MICROSOFT PLACE,SOUTH COUNTY BUSINESS PARK,DUBLIN,IRELAND,D18 P521,.,IE,
1000549257,MICROSOFT IRELAND OPERATIONS,ONE MICROSOFT PLACE,SOUTH COUNTY BUSINESS PARK,DUBLIN,IRELAND,D18 P521,.,IE,MICROSOFT_M
MORPHE_M,MORPHE MASTER,22 FOURTH STREET 4TH FLOOR,,SAN FRANCISCO,UNITED STATES,94103,CA,US,
1000415516,MORPHE LLC,22 FOURTH STREET 4TH FLOOR,,SAN FRANCISCO,UNITED STATES,94103,CA,US,MORPHE_M
MOTOROLA_M,MOTOROLA SOLUTIONS MASTER,2520 GALVIN DR,,ELGIN,UNITED STATES,60124,IL,US,
1000350493,MOTOROLA SOLUTIONS,2520 GALVIN DR,,ELGIN,UNITED STATES,60124,IL,US,MOTOROLA_M
MUNCHKIN_M,MUNCHKIN MASTER,27334 SAN BERNARDINO AVE,,REDLANDS,UNITED STATES,92374,CA,US,
1000514552,MUNCHKIN INC,27334 SAN BERNARDINO AVE,,REDLANDS,UNITED STATES,92374,CA,US,MUNCHKIN_M
OLD TIME POTTERY_M,OLD TIME POTTERY MASTER,480 RIVER ROCK BLVD,,MURFREESBORO,UNITED STATES,37128,TN,US,
1000530601,"OLD TIME POTTERY ""POST PETITION""",480 RIVER ROCK BLVD,,MURFREESBORO,UNITED STATES,37128,TN,US,OLD TIME POTTERY_M
SANDVIK_M,SANDVIK SMC LOGISTICS MASTER,877 WEST CROSSROADS PARKWAY,,ROMEOVILLE,UNITED STATES,60446,IL,US,
1000393045,SANDVIK SMC LOGISTIC LTD,877 WEST CROSSROADS PARKWAY,,ROMEOVILLE,UNITED STATES,60446,IL,US,SANDVIK_M
1000655341,SANDVIK SMC LOGISTICS LTD,877 WEST CROSSROADS PARKWAY,,ROMEOVILLE,UNITED STATES,60446,IL,US,SANDVIK_M
SCHNEIDER_M,SCHNEIDER ELECTRIC MASTER,1 BOSTON PL STE 2700,,BOSTON,UNITED STATES,2108,MA,US,
1000641721,SCHNEIDER ELECTRIC,1 BOSTON PL STE 2700,,BOSTON,UNITED STATES,2108,MA,US,SCHNEIDER_M
STARBUCKS_M,STARBUCKS - EXPEDITORS MASTER,INTERNATIONAL,26 CENTURY BLVD SUITE 702,NASHVILLE,UNITED STATES,37214,TN,US,
1000587751,STARBUCKS - EXPEDITORS,INTERNATIONAL,19119 16TH AVE SOUTH,SEATAC,UNITED STATES,98188,WA,US,STARBUCKS_M
1000679406,STARBUCKS - EXPEDITORS,INTERNATIONAL,26 CENTURY BLVD SUITE 702,NASHVILLE,UNITED STATES,37214,TN,US,STARBUCKS_M
1000652963,ULTIUM CELLS LLC,301 DONALD F EPHLIN PKWY,,SPRING HILL,UNITED STATES,37174,TN,US,GENERALMOTORS_M
1000640163,ULTIUM CELLS LLC,7400 TOD AVE. SW,ULTIUM DIRECT MATERIALS BILLING,WARREN,UNITED STATES,44481,OH,US,GENERALMOTORS_M
URBAN OUTFITTERS_M,URBAN OUTFITTERS MASTER,5000 SOUTH BROAD ST,,PHILADELPHIA,UNITED STATES,19112,PA,US,
1000513906,URBAN OUTFITTERS,5000 SOUTH BROAD ST,,PHILADELPHIA,UNITED STATES,19112,PA,US,URBAN OUTFITTERS_M
VALARIS_M,VALARIS LIMITED MASTER,5847 SAN FELIPE ST,,HOUSTON,UNITED STATES,77057,TX,US,
1000594441,VALARIS LIMITED,5847 SAN FELIPE ST,,HOUSTON,UNITED STATES,77057,TX,US,VALARIS_M
WILLIAMS SONOMA_M,WILLIAMS SONOMA MASTER,3250 VAN NESS AVENUE,,SAN FRANCISCO,UNITED STATES,94109,CA,US,
1000599551,"WILLIAMS SONOMA, INC",3250 VAN NESS AVENUE,,SAN FRANCISCO,UNITED STATES,94109,CA,US,WILLIAMS SONOMA_M
YOKOHAMA_M,YOKOHAMA MASTER,"201 EDGEWATER DRIVE,SUITE 285",,WAKEFIELD,UNITED STATES,1880,MA,US,
1000651337,YOKOHAMA OFF-HIGHWAY TIRES AMERICA INC,"201 EDGEWATER DRIVE,SUITE 285",,WAKEFIELD,UNITED STATES,1880,MA,US,YOKOHAMA_M